URL,Title,Authors,Cited No.
https://academic.oup.com/bib/article-abstract/15/5/788/2422275,Web scraping technologies in an API world,"['D Glez-Peña', 'A Lourenço']",242
https://www.researchgate.net/profile/Bo-Zhao-3/publication/317177787_Web_Scraping/links/5c293f85a6fdccfc7073192f/Web-Scraping.pdf,Web scraping,['B Zhao'],155
http://ir.kdu.ac.lk/handle/345/1051,A comparative study on web scraping,['DS Sirisuriya'],105
https://books.google.com/books?hl=en&lr=&id=TYtSDwAAQBAJ&oi=fnd&pg=PT30&dq=web+scraping&ots=y1C4wGqmig&sig=_nPBOwH20oqPXz_ljgyYhQ9kVOg,Web scraping with Python: Collecting more data from the modern web,['R Mitchell - 2018 - books.google.com'],572
http://ijasca.zuj.edu.jo/PapersUploaded/2021.3.11.pdf,"Web Scraping or Web Crawling: State of Art, Techniques, Approaches and Application.",['MA Khder'],92
https://books.google.com/books?hl=en&lr=&id=V_l_CwAAQBAJ&oi=fnd&pg=PP1&dq=web+scraping&ots=G0Er4wQx2n&sig=e-DwxCev1cWEqxQnbNfeWej5I3w,Web scraping with Python,['R Lawson - 2015 - books.google.com'],80
https://www.researchgate.net/profile/Vlad-Krotov/publication/324907302_Legality_and_Ethics_of_Web_Scraping/links/5aea622345851588dd8287dc/Legality-and-Ethics-of-Web-Scraping.pdf,Legality and ethics of web scraping,"['V Krotov', 'L Silva']",91
https://digitalcommons.murraystate.edu/faculty/86/,Tutorial: Legality and ethics of web scraping,"['V Krotov', 'L Johnson', 'L Silva']",39
https://ieeexplore.ieee.org/abstract/document/9005594/,Web scraping: state-of-the-art and areas of application,"['EN Sarr', 'O Sall', 'B Birregah']",118
https://books.google.com/books?hl=en&lr=&id=hO7sBQAAQBAJ&oi=fnd&pg=PA196&dq=web+scraping&ots=BKSgau49U0&sig=hEqz8d_gpH5RvEwHmZHpyHLIDv8,Automated data collection with R: A practical guide to web scraping and text mining,"['S Munzert', 'D Nyhuis']",281
https://www.academia.edu/download/30571939/1390-6710-1-PB.pdf,Exploiting web scraping in a collaborative filtering-based approach to web advertising.,"['E Vargiu', 'M Urru']",221
https://ieeexplore.ieee.org/abstract/document/8822022/,Data analysis by web scraping using python,['S Mathur'],95
https://www.unwe.bg/uploads/Alternatives/10_Alt_english_br_3_2017.pdf,Conceptual approach for development of web scraping application for tracking information,['P Milev'],36
https://ieeexplore.ieee.org/abstract/document/9051800/,A novel web scraping approach using the additional information obtained from web pages,['E Uzun'],66
https://ieeexplore.ieee.org/abstract/document/8821809/,A review on web scrapping and its applications,"['A Mitra', 'S Paul']",82
https://psycnet.apa.org/journals/met/21/4/475/,A primer on theory-driven web scraping: Automatic extraction of big data from the Internet for use in psychological research.,"['RN Landers', 'RC Brusso']",211
https://books.google.com/books?hl=en&lr=&id=jHc5DwAAQBAJ&oi=fnd&pg=PP1&dq=web+scraping&ots=BQZB0WUUoH&sig=-jLAWFOCcAliFpwXfkuc2FQj4zE,Python Web Scraping,"['K Jarmul, R Lawson - 2017 - books.google.com']",26
https://ieeexplore.ieee.org/abstract/document/8118431/,Cloud based web scraping for big data applications,"['RS Chaulagain', 'S Pandey']",70
https://www.perkinscoie.com/images/content/1/5/v2/156775/Snell-web-scraping-BNAI.pdf,Web scraping in an era of big data 2.0,"['J Snell, N Menaldo\xa0- Bloomberg Law News, 2016 - perkinscoie.com']",25
https://www.bigsurv.org/bigsurv18/uploads/73/61/20180820_BigSurv_WebscrapingMeetsSurveyDesign.pdf,Web scraping meets survey design: Combining forces,['O ten Bosch'],20
https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=6def5b5f8e8bb763dce6133dfe3b46d1963ea3db,Web scraping made simple with sitescraper,"['T Baldwin', 'D Martinez']",24
https://link.springer.com/chapter/10.1007/978-3-642-31753-8_28,WebSelF: A web scraping framework,"['JG Thomsen', 'E Ernst', 'C Brabrand']",16
http://www2.imm.dtu.dk/pubdb/edoc/imm6183.pdf,Algorithms for web scraping,"['PH Cording, K Lyngby\xa0- …\xa0: Technical University of Denmark.[Consulta: 14\xa0…, 2011 - imm.dtu.dk']",15
http://rochi.utcluj.ro/rrioc/articole/RRIOC-11-1-Gheorghe.pdf,Modern techniques of web scraping for data scientists,"['M Gheorghe', 'M Dârdală']",15
https://dl.acm.org/doi/abs/10.1145/2487788.2487796,Effective web scraping with oxpath,"['G Grasso', 'T Furche', 'C Schallhart']",20
https://www.tandfonline.com/doi/abs/10.1080/10691898.2020.1787116,Web scraping in the statistics and data science curriculum: Challenges and opportunities,"['M Dogucu', 'M Çetinkaya-Rundel']",32
https://www.tandfonline.com/doi/abs/10.1080/13510347.2020.1714595,"Scraping the demos. Digitalization, web scraping and the democratic project",['L Ulbricht'],50
https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/lewclr25&section=7,A new common law of web scraping,['BLW Sobel'],33
https://link.springer.com/chapter/10.1007/978-3-030-54371-6_22,Web scraping,"['T Bressoud, D White, T Bressoud, D White\xa0- Introduction to Data Systems\xa0…, 2020 - Springer']",2
https://content.iospress.com/articles/statistical-journal-of-the-iaos/sji901,Web scraping techniques to collect data on consumer electronics and airfares for Italian HICP compilation,['RL Conte'],63
